time,rfe,rfe_filled
2001-12-10,0.4,0.4
2001-12-15,1.16,1.16
2001-12-20,1.03,1.03
2001-12-25,0.0,0.0
2001-12-31,0.29,0.29
2002-01-05,0.09,0.09
2002-01-10,0.6,0.6
2002-01-15,0.04,0.04
2002-01-20,0.0,0.0
2002-01-25,0.04,0.04
2002-01-31,0.29,0.29
2002-02-05,0.0,0.0
2002-02-10,1.7,1.7
2002-02-15,0.53,0.53
2002-02-20,0.16,0.16
2002-02-25,2.7,2.7
2002-02-28,2.91,2.91
2002-03-05,2.48,2.48
2002-03-10,7.92,7.92
2002-03-15,4.91,4.91
2002-03-20,4.92,4.92
2002-03-25,3.4,3.4
2002-03-31,7.23,7.23
2002-04-05,6.86,6.86
2002-04-10,25.12,25.12
2002-04-15,23.27,23.27
2002-04-20,14.24,14.24
2002-04-25,13.28,13.28
2002-04-30,7.4,7.4
2002-05-05,17.72,17.72
2002-05-10,15.97,15.97
2002-05-15,13.52,13.52
2002-05-20,17.19,17.19
2002-05-25,21.8,21.8
2002-05-31,27.51,27.51
2002-06-05,33.86,33.86
2002-06-10,30.9,30.9
2002-06-15,31.95,31.95
2002-06-20,29.4,29.4
2002-06-25,27.05,27.05
2002-06-30,25.66,25.66
2002-07-05,39.09,39.09
2002-07-10,30.55,30.55
2002-07-15,33.02,33.02
2002-07-20,34.56,34.56
2002-07-25,53.08,53.08
2002-07-31,55.77,55.77
2002-08-05,46.07,46.07
2002-08-10,31.95,31.95
2002-08-15,30.74,30.74
2002-08-20,39.66,39.66
2002-08-25,36.95,36.95
2002-08-31,42.58,42.58
2002-09-05,48.63,48.63
2002-09-10,31.44,31.44
2002-09-15,33.4,33.4
2002-09-20,33.12,33.12
2002-09-25,30.88,30.88
2002-09-30,26.4,26.4
2002-10-05,26.92,26.92
2002-10-10,21.34,21.34
2002-10-15,21.39,21.39
2002-10-20,23.01,23.01
2002-10-25,21.84,21.84
2002-10-31,19.17,19.17
2002-11-05,12.68,12.68
2002-11-10,4.44,4.44
2002-11-15,2.78,2.78
2002-11-20,1.33,1.33
2002-11-25,2.12,2.12
2002-11-30,1.52,1.52
2002-12-05,0.91,0.91
2002-12-10,1.06,1.06
2002-12-15,0.87,0.87
2002-12-20,0.34,0.34
2002-12-25,0.4,0.4
2002-12-31,0.0,0.0
2003-01-05,0.12,0.12
2003-01-10,0.39,0.39
2003-01-15,2.27,2.27
2003-01-20,1.49,1.49
2003-01-25,1.32,1.32
2003-01-31,1.18,1.18
2003-02-05,0.0,0.0
2003-02-10,0.29,0.29
2003-02-15,1.74,1.74
2003-02-20,2.9,2.9
2003-02-25,5.57,5.57
2003-02-28,1.19,1.19
2003-03-05,2.36,2.36
2003-03-10,3.73,3.73
2003-03-15,1.64,1.64
2003-03-20,3.19,3.19
2003-03-25,3.63,3.63
2003-03-31,6.48,6.48
2003-04-05,9.92,9.92
2003-04-10,17.57,17.57
2003-04-15,18.82,18.82
2003-04-20,11.83,11.83
2003-04-25,9.56,9.56
2003-04-30,10.4,10.4
2003-05-05,4.67,4.67
2003-05-10,8.59,8.59
2003-05-15,12.4,12.4
2003-05-20,28.23,28.23
2003-05-25,25.83,25.83
2003-05-31,37.12,37.12
2003-06-05,30.03,30.03
2003-06-10,35.53,35.53
2003-06-15,26.38,26.38
2003-06-20,29.89,29.89
2003-06-25,37.6,37.6
2003-06-30,26.86,26.86
2003-07-05,23.2,23.2
2003-07-10,40.08,40.08
2003-07-15,40.21,40.21
2003-07-20,46.53,46.53
2003-07-25,22.35,22.35
2003-07-31,45.49,45.49
2003-08-05,34.27,34.27
2003-08-10,32.6,32.6
2003-08-15,45.39,45.39
2003-08-20,47.63,47.63
2003-08-25,36.84,36.84
2003-08-31,43.84,43.84
2003-09-05,41.62,41.62
2003-09-10,34.3,34.3
2003-09-15,41.66,41.66
2003-09-20,37.42,37.42
2003-09-25,38.24,38.24
2003-09-30,36.19,36.19
2003-10-05,23.18,23.18
2003-10-10,14.1,14.1
2003-10-15,26.79,26.79
2003-10-20,16.03,16.03
2003-10-25,12.67,12.67
2003-10-31,15.67,15.67
2003-11-05,10.95,10.95
2003-11-10,9.45,9.45
2003-11-15,4.74,4.74
2003-11-20,3.24,3.24
2003-11-25,1.68,1.68
2003-11-30,1.82,1.82
2003-12-05,0.94,0.94
2003-12-10,0.24,0.24
2003-12-15,1.15,1.15
2003-12-20,0.8,0.8
2003-12-25,0.32,0.32
2003-12-31,0.32,0.32
2004-01-05,0.41,0.41
2004-01-10,1.42,1.42
2004-01-15,0.51,0.51
2004-01-20,2.61,2.61
2004-01-25,0.76,0.76
2004-01-31,0.54,0.54
2004-02-05,1.06,1.06
2004-02-10,0.0,0.0
2004-02-15,1.31,1.31
2004-02-20,0.23,0.23
2004-02-25,0.73,0.73
2004-02-29,1.97,1.97
2004-03-05,8.37,8.37
2004-03-10,0.0,0.0
2004-03-15,1.17,1.17
2004-03-20,1.68,1.68
2004-03-25,1.45,1.45
2004-03-31,6.72,6.72
2004-04-05,10.11,10.11
2004-04-10,14.21,14.21
2004-04-15,11.27,11.27
2004-04-20,6.19,6.19
2004-04-25,8.66,8.66
2004-04-30,16.77,16.77
2004-05-05,14.4,14.4
2004-05-10,22.31,22.31
2004-05-15,22.27,22.27
2004-05-20,20.74,20.74
2004-05-25,26.67,26.67
2004-05-31,26.69,26.69
2004-06-05,24.14,24.14
2004-06-10,31.11,31.11
2004-06-15,24.63,24.63
2004-06-20,24.82,24.82
2004-06-25,21.99,21.99
2004-06-30,34.3,34.3
2004-07-05,35.22,35.22
2004-07-10,48.17,48.17
2004-07-15,23.42,23.42
2004-07-20,52.18,52.18
2004-07-25,41.5,41.5
2004-07-31,38.06,38.06
2004-08-05,35.47,35.47
2004-08-10,34.58,34.58
2004-08-15,29.87,29.87
2004-08-20,31.99,31.99
2004-08-25,33.0,33.0
2004-08-31,43.98,43.98
2004-09-05,37.54,37.54
2004-09-10,34.13,34.13
2004-09-15,38.42,38.42
2004-09-20,35.13,35.13
2004-09-25,36.34,36.34
2004-09-30,28.54,28.54
2004-10-05,22.69,22.69
2004-10-10,22.85,22.85
2004-10-15,18.01,18.01
2004-10-20,15.79,15.79
2004-10-25,20.89,20.89
2004-10-31,16.16,16.16
2004-11-05,7.69,7.69
2004-11-10,5.0,5.0
2004-11-15,4.6,4.6
2004-11-20,4.88,4.88
2004-11-25,4.96,4.96
2004-11-30,0.82,0.82
2004-12-05,1.01,1.01
